,Open,High,Low,Close,Volume,7-day MA,30-day MA,Daily Return,Day,Predicted Close,Upper Band,Lower Band
2024-07-18,230.28,230.44,222.27,224.18,66034585.0,,,,0,218.10691998822847,,
2024-07-19,224.82,226.8,223.275,224.31,49151453.0,,,0.0005798911588901223,1,218.22141489789718,,
2024-07-22,227.01,227.78,223.09,223.96,48201835.0,,,-0.001560340600062382,4,218.56489962690333,,
2024-07-23,224.365,226.94,222.68,225.01,39960260.0,,,0.004688337203071935,5,218.67939453657203,,
2024-07-24,224.0,224.8,217.13,218.54,61777576.0,,,-0.028754277587662802,6,218.79388944624077,,
2024-07-25,218.93,220.85,214.62,217.49,51391199.0,,,-0.004804612427930732,7,218.90838435590948,,
2024-07-26,218.7,219.49,216.01,217.96,41601345.0,221.6357142857143,,0.002161018897420597,8,219.02287926557818,,
2024-07-29,216.96,219.3,215.75,218.24,36311778.0,220.78714285714287,,0.0012846393833731984,11,219.36636399458433,,
2024-07-30,219.19,220.325,216.12,218.8,41643840.0,220.0,,0.002565982404692191,12,219.48085890425304,,
2024-07-31,221.44,223.82,220.63,222.08,50036262.0,219.73142857142855,,0.014990859232175469,13,219.59535381392178,,
2024-08-01,224.37,224.48,217.02,218.36,62500996.0,218.78142857142856,,-0.016750720461095048,14,219.70984872359048,,
2024-08-02,219.15,225.6,217.71,219.86,105568560.0,218.97,,0.006869389998168218,15,219.8243436332592,,
2024-08-05,199.09,213.5,196.0,209.27,119548589.0,217.7957142857143,,-0.0481670153734195,18,220.16782836226534,,
2024-08-06,205.3,209.99,201.07,207.23,69660488.0,216.26285714285717,,-0.009748172217709294,19,220.28232327193405,,
2024-08-07,206.9,213.64,206.39,209.82,63516417.0,215.06,,0.01249819041644562,20,220.39681818160278,,
2024-08-08,213.11,214.2,208.83,213.31,47161149.0,214.2757142857143,,0.016633304737394106,21,220.5113130912715,,
2024-08-09,212.1,216.78,211.97,216.24,42201646.0,213.44142857142856,,0.013735877361586546,22,220.6258080009402,,
2024-08-12,216.07,219.5099,215.6,217.53,38028092.0,213.32285714285715,,0.005965593784683643,25,220.96929272994635,,
2024-08-13,219.01,221.89,219.01,221.27,44155331.0,213.52428571428572,,0.01719303084632018,26,221.08378763961505,,
2024-08-14,220.57,223.03,219.7,221.72,41960574.0,215.30285714285714,,0.002033714466488812,27,221.19828254928376,228.43409011986475,208.08390988013528
2024-08-15,224.6,225.35,222.76,224.72,46414013.0,217.80142857142854,,0.013530579108785856,28,221.3127774589525,228.52987755532155,208.0421224446784
2024-08-16,223.92,226.8271,223.6501,226.05,44340240.0,220.11999999999998,,0.005918476326094657,29,221.4272723686212,228.8589868395874,207.88701316041258
2024-08-19,225.72,225.99,223.04,225.89,40687813.0,221.91714285714286,,-0.0007078080070781478,32,221.77075709762735,229.20453947974013,207.7344605202599
2024-08-20,225.77,227.17,225.45,226.51,30299033.0,223.3842857142857,,0.002744698747177754,33,221.88525200729606,229.4908196891395,207.59818031086056
2024-08-21,226.52,227.98,225.05,226.4,34765480.0,224.65142857142857,,-0.0004856297735198467,34,221.99974691696477,230.433714251016,207.441285748984
2024-08-22,227.79,228.34,223.9,224.53,43695321.0,225.11714285714288,,-0.008259717314487602,35,222.1142418266335,231.02766712133632,207.5513328786637
2024-08-23,225.6589,228.22,224.33,226.84,38677250.0,225.84857142857143,,0.010288157484523275,36,222.2287367363022,231.9230248817214,207.54397511827858
2024-08-26,226.76,227.28,223.8905,227.18,30602208.0,226.20000000000002,,0.0014988538176687882,39,222.57222146530836,232.78793385550972,207.57306614449033
2024-08-27,225.995,228.85,224.89,228.03,35934559.0,226.48285714285717,,0.003741526542829554,40,222.68671637497707,233.70419389971238,207.5798061002876
2024-08-28,227.92,229.86,225.68,226.49,38052167.0,226.56857142857143,220.92733333333334,-0.006753497346840276,41,222.80121128464577,234.17342289892224,207.55157710107778
2024-08-29,230.1,232.92,228.88,229.79,51906297.0,227.03714285714287,221.11433333333332,0.014570179698882857,42,222.9157061943145,235.26389652509138,207.60410347490856
2024-08-30,230.19,230.4,227.48,229.0,52990770.0,227.40857142857143,221.27066666666667,-0.003437921580573544,43,223.03020110398322,236.10073409877515,207.68126590122483
2024-09-03,228.55,229.0,221.17,222.77,50190574.0,227.15714285714284,221.23100000000002,-0.027205240174672407,47,223.48818074265807,235.47437410773568,209.65762589226426
2024-09-04,221.66,221.78,217.48,220.85,43262758.0,226.30142857142854,221.09233333333336,-0.008618754769493253,48,223.60267565232678,234.00706867518673,212.4869313248133
2024-09-05,221.625,225.48,221.52,222.38,36615398.0,225.6157142857143,221.22033333333331,0.0069277790355444235,49,223.71717056199552,232.61125597272937,215.13874402727063
2024-09-06,223.95,225.24,219.77,220.82,48423011.0,224.58571428571426,221.33133333333336,-0.007015019336271244,50,223.83166547166422,231.61219452747034,216.8888054725297
2024-09-09,220.82,221.27,216.71,220.91,67179965.0,223.78857142857143,221.4296666666667,0.0004075717779186139,53,224.17515020067037,231.02656476347062,217.9414352365294
2024-09-10,218.92,221.48,216.73,220.11,51591033.0,222.40571428571428,221.49200000000002,-0.003621384274138717,54,224.28964511033908,230.6613215592598,218.56467844074015
2024-09-11,221.455,223.09,217.89,222.66,44587072.0,221.5,221.62066666666666,0.011585116532642603,55,224.4041400200078,230.59960055241285,218.7653994475871
2024-09-12,222.5,223.55,219.82,222.77,37498225.0,221.5,221.6436666666667,0.0004940267672686183,56,224.5186349296765,230.5593319020519,218.91066809794808
2024-09-13,223.58,224.04,221.91,222.5,36766619.0,221.7357142857143,221.78166666666667,-0.0012120123894600043,57,224.63312983934523,230.5335298592943,218.71447014070563
2024-09-16,216.54,217.22,213.92,216.32,59357427.0,220.86999999999998,221.66366666666667,-0.027775280898876487,60,224.97661456835138,231.06678757635203,217.20821242364795
2024-09-17,215.75,216.9,214.5,216.79,45519339.0,220.2942857142857,221.9143333333333,0.0021727071005916976,61,225.0911094780201,231.28921967476938,216.07578032523057
2024-09-18,217.55,222.71,217.54,220.69,59894928.0,220.26285714285714,222.363,0.01798975967526184,62,225.2056043876888,230.98806508249814,215.79493491750188
2024-09-19,224.99,229.82,224.63,228.87,66781315.0,221.51428571428573,222.99800000000002,0.03706556708505149,63,225.3200992973575,231.3926151881537,215.63738481184632
2024-09-20,229.97,233.09,227.62,228.2,318679888.0,222.30571428571426,223.49433333333334,-0.0029274260497226257,64,225.43459420702624,231.84215048107376,215.5548495189263
2024-09-23,227.34,229.45,225.81,226.47,54146023.0,222.8342857142857,223.83533333333335,-0.007581069237510896,67,225.77807893603236,231.79523323918136,215.56476676081866
2024-09-24,228.645,229.35,225.73,227.37,43556068.0,223.53,224.16333333333333,0.003974036296198191,68,225.8925738457011,231.8224103355634,215.55658966443661
2024-09-25,224.93,227.29,224.02,226.37,42308715.0,224.96571428571428,224.33333333333334,-0.004398117605664775,69,226.0070687553698,231.58532005522636,215.62767994477366
2024-09-26,227.3,228.5,225.41,227.52,36636707.0,226.49857142857144,224.52666666666667,0.005080178468878316,70,226.1215636650385,231.7279614555917,215.5880385444084
2024-09-27,228.46,229.52,227.3,227.79,34025967.0,227.51285714285717,224.629,0.0011867088607593335,71,226.23605857470724,231.35290143754565,215.76309856245445
2024-09-30,230.04,233.0,229.65,233.0,54793391.0,228.10285714285712,224.86066666666667,0.022871943456692634,74,226.57954330371336,232.3093719428675,215.20662805713258
2024-10-01,229.52,229.65,223.74,226.21,63285048.0,227.81857142857143,224.87133333333335,-0.02914163090128752,75,226.6940382133821,232.5359073958102,215.32409260418981
2024-10-02,225.89,227.37,223.02,226.78,32880605.0,227.86285714285714,224.88033333333334,0.0025197825029839027,76,226.8085331230508,232.7941337702454,215.65886622975458
2024-10-03,225.14,226.805,223.32,225.67,34044158.0,227.61999999999998,224.85600000000002,-0.004894611517770597,77,226.92302803271951,232.9356638318893,215.84633616811075
2024-10-04,227.9,228.0,224.13,226.8,37345098.0,227.68142857142857,224.9316666666667,0.005007311561129102,78,227.03752294238825,233.1263474261515,216.25365257384848
2024-10-07,224.5,225.69,221.33,221.69,39505354.0,226.84857142857143,224.76000000000002,-0.02253086419753092,81,227.38100767139437,233.09871960795493,216.35928039204504
2024-10-08,224.3,225.98,223.25,225.77,31855693.0,226.56,224.71300000000002,0.018404077766250193,82,227.4955025810631,233.1022113693028,216.92178863069725
2024-10-09,225.23,229.75,224.83,229.54,33591091.0,226.06571428571428,224.76333333333335,0.01669840988616733,83,227.6099974907318,233.60857701378285,217.10342298621725
2024-10-10,227.78,229.5,227.17,229.04,28183544.0,226.47,224.84833333333336,-0.002178269582643555,84,227.72449240040052,233.9845807192965,217.35441928070355
2024-10-11,229.3,229.41,227.34,227.55,31759188.0,226.57999999999998,224.77366666666666,-0.006505413901501833,85,227.83898731006923,234.13794239717382,217.70605760282612
2024-10-14,228.7,231.73,228.6,231.3,39882085.0,227.3842857142857,224.85033333333334,0.016479894528675043,88,228.18247203907538,233.86950247584386,219.47249752415613
2024-10-15,233.61,237.49,232.37,233.85,64751367.0,228.39142857142858,225.21966666666668,0.011024643320363126,89,228.2969669487441,233.77302990365982,221.27497009634024
2024-10-16,231.6,232.12,229.84,231.78,34082240.0,229.83285714285714,225.58399999999997,-0.008851828094932568,90,228.41146185841282,233.71204343011027,222.4449565698897
2024-10-17,233.43,233.85,230.52,232.15,32993810.0,230.74428571428572,225.9096666666667,0.0015963413581845387,91,228.52595676808153,234.15702404989895,222.32797595010106
2024-10-18,236.18,236.18,234.01,235.0,46431472.0,231.52428571428572,226.38233333333335,0.012276545337066569,92,228.64045167775024,235.2238786615662,221.94112133843387
2024-10-21,234.45,236.85,234.45,236.48,36254470.0,232.58714285714288,226.90133333333333,0.006297872340425448,95,228.98393640675638,236.51565086946496,221.65034913053503
2024-10-22,233.885,236.22,232.6,235.86,38846578.0,233.77428571428572,227.42633333333333,-0.0026217861975641465,96,229.0984313164251,237.4784970980318,221.5365029019682
2024-10-23,234.08,235.144,227.76,230.76,52286979.0,233.69714285714286,227.69633333333334,-0.021622996692953533,97,229.21292622609383,237.57504394000185,221.87895605999816
2024-10-24,229.98,230.82,228.41,230.57,31109503.0,233.22857142857146,227.95633333333333,-0.0008233662679840714,98,229.32742113576253,237.6652588617051,222.0937411382948
2024-10-25,229.74,233.22,229.57,231.41,38802304.0,233.1757142857143,228.25333333333336,0.0036431452487313276,99,229.44191604543124,237.80995695890255,222.31104304109743
2024-10-28,233.32,234.73,232.55,233.4,36087134.0,233.3542857142857,228.82266666666666,0.00859945551186203,102,229.7854007744374,237.86388980406952,222.29711019593043
2024-10-29,233.1,234.325,232.32,233.67,35417247.0,233.16428571428574,229.38533333333334,0.0011568123393315144,103,229.8998956841061,238.17062593078322,222.73637406921677
2024-10-30,232.61,233.47,229.55,230.1,47070907.0,232.25285714285715,229.69899999999998,-0.015277956091924505,104,230.01439059377483,238.14434859088718,223.09465140911274
2024-10-31,229.34,229.83,225.37,225.91,64370086.0,230.83142857142857,229.60033333333334,-0.018209474141677506,105,230.12888550344354,238.12380981178552,223.1391901882145
2024-11-01,220.965,225.35,220.27,222.91,65276741.0,229.70999999999998,229.424,-0.01327962462927712,106,230.24338041311225,238.52629663196916,222.3477033680308
2024-11-04,220.99,222.79,219.71,222.01,44944468.0,228.48714285714283,229.27533333333335,-0.004037503925351071,109,230.5868651421184,238.47039713635877,222.4356028636413
2024-11-05,221.795,223.95,221.14,223.45,28111338.0,227.35,229.14466666666667,0.006486194315571403,110,230.7013600517871,238.69939728911754,221.97460271088244
2024-11-06,222.61,226.065,221.19,222.72,54561121.0,225.8242857142857,229.023,-0.0032669501006936663,111,230.81585496145584,239.02488790727259,220.96711209272732
2024-11-07,224.625,227.875,224.57,227.48,42137691.0,224.94,229.02166666666665,0.021372126436781658,112,230.93034987112455,239.0084058157337,220.82759418426625
2024-11-08,227.17,228.66,226.405,226.96,38328824.0,224.49142857142857,228.994,-0.0022859152452961995,113,231.04484478079326,239.0150195418274,220.76198045817264
2024-11-11,225.0,225.7,221.5,224.23,42005602.0,224.25142857142853,228.70166666666665,-0.012028551286570432,116,231.3883295097994,238.97367185126058,220.09632814873942
2024-11-12,224.55,225.59,223.355,224.23,40398299.0,224.44,228.63566666666665,0.0,117,231.5028244194681,238.54712305109058,219.56087694890942
2024-11-13,224.01,226.65,222.76,225.12,48566217.0,224.8842857142857,228.58033333333333,0.0039691388306650754,118,231.61731932913685,238.2785220307573,219.1634779692427
2024-11-14,225.02,228.87,225.0,228.22,44923941.0,225.56571428571428,228.66533333333334,0.01377043354655294,119,231.73181423880555,237.94581173122043,219.10318826877955
2024-11-15,226.4,226.92,224.27,225.0,47923696.0,225.89142857142858,228.60533333333333,-0.014109192884059207,120,231.84630914847426,237.05200527991747,218.9969947200825
2024-11-18,225.25,229.74,225.17,228.02,44686020.0,225.96857142857144,228.81633333333332,0.013422222222222224,123,232.1897938774804,235.7064855352312,219.49651446476878
2024-11-19,226.98,230.16,226.66,228.28,36211774.0,226.15714285714284,228.9,0.0011402508551880963,124,232.30428878714912,234.35162447566077,220.09337552433928
2024-11-20,228.06,229.93,225.89,229.0,35169566.0,226.8385714285714,228.88199999999998,0.0031540213772560666,125,232.41878369681785,234.1218072141745,220.14719278582555
2024-11-21,228.88,230.155,225.7103,228.52,42108327.0,227.45142857142858,228.86466666666666,-0.002096069868995576,126,232.53327860648656,233.86556299143328,220.19843700856674
2024-11-22,228.06,230.7199,228.06,229.87,38168252.0,228.13000000000002,228.942,0.005907579205321145,127,232.64777351615527,233.6133117822362,220.29668821776377
2024-11-25,231.46,233.245,229.74,232.87,90152832.0,228.7942857142857,228.99433333333334,0.013050854830991332,130,232.99125824516142,233.48220453696888,220.3747954630311
2024-11-26,233.33,235.57,233.33,235.06,45986189.0,230.23142857142855,229.03466666666665,0.00940438871473348,131,233.10575315483013,233.87426459182845,220.12173540817153
2024-11-27,234.465,235.69,233.8101,234.93,33498439.0,231.21857142857144,229.13966666666667,-0.0005530502850336072,132,233.22024806449883,234.87214588186083,219.60685411813927
2024-11-29,234.81,237.81,233.97,237.33,28481377.0,232.51142857142855,229.31233333333333,0.010215808964372464,134,233.44923788383628,236.63930328064976,218.98169671935023
2024-12-02,237.27,240.79,237.16,239.59,48137103.0,234.02428571428572,229.4653333333333,0.009522605654573857,137,233.79272261284243,238.60317772875757,218.68582227124236
2024-12-03,239.81,242.76,238.9,242.65,38861017.0,236.04285714285717,229.671,0.012771818523310774,138,233.90721752251113,240.93349272732934,218.41950727267061
2024-12-04,242.87,244.11,241.25,243.01,44383935.0,237.92000000000002,229.90933333333336,0.0014836183803832448,139,234.02171243217984,242.98164330675402,218.327356693246
2024-12-05,243.99,244.54,242.13,243.04,40033878.0,239.37285714285716,230.31866666666667,0.00012345170980609943,140,234.13620734184857,244.57991635110986,218.7610836488902
2024-12-06,242.905,244.63,242.08,242.84,36870619.0,240.48428571428573,230.72766666666666,-0.0008229098090848375,141,234.25070225151728,246.1036909301656,218.77330906983445
